Team,TotalPoints,Racers,Races
SPRME,15984895.896970086,46,110788
P1RE,14989167.521544501,38,108625
PR2W,10577476.133861655,50,75286
TVX,9696536.248956015,49,69755
NTPD1,9425100.774501171,47,68432
N8TE,9260593.664667776,38,67617
PSR,8420978.43020765,49,61578
SSH,8415109.779213822,36,59999
CAM0,8166674.338804351,49,58195
CZBZ,7400406.9518949175,45,52474
NCT,7075161.181919858,47,51701
LXW,6438759.363891181,32,45476
BEEHVE,6156458.4825131735,48,46051
S0RC,5258094.678165459,44,36541
TCHR,5080479.991445926,38,37766
4CU,4523188.934438886,38,26836
FASZ,4105956.791481193,29,29353
RFTP,3869271.828684972,49,31799
ZTAGZ,3463319.7115211324,34,23418
LOVGOD,3443376.168146942,49,24243
ERC,3343444.0227218946,16,23247
LEGNDS,3319647.90078853,45,23225
NTO,2974072.8571343254,47,23500
190IQ,2786018.268527373,10,20006
WPMWPM,2449173.595486427,45,19582
RZ,2379106.06879483,43,18614
MEYBO,2377102.5989971086,31,17161
LLJ4R,2290099.3607140896,47,18765
NHS,2242496.356423293,47,17596
DLX,2229907.011883931,47,18168
DIV1,2210506.6272300226,42,15486
F0J,2118062.189165653,39,15112
NTP444,2055788.7817568288,47,16684
VKS,1995855.6519411362,38,15021
AMPX,1965133.0747443673,45,14850
50I,1923658.5631167192,39,13609
T0WER,1836190.258300951,36,12235
TWO,1736064.8889552448,30,12212
RI5E,1676291.8990758588,45,13024
ZSH,1633477.7427121652,37,13575
T3X5,1588172.645106617,18,11142
BRAVE,1527067.186210628,39,11818
ZH,1519655.525147254,36,10944
1STRED,1489195.9072141673,41,11725
FAM3,1480830.8030514964,44,11603
RVNT,1447487.0277884281,29,12210
OVCR,1418490.0955479846,37,12211
NS7,1345646.0322845343,33,10025
A3,1330757.2176362197,24,9662
AL3,1312334.6251398574,28,10013
B0MBA,1299373.89400446,40,8792
HELIUM,1167424.9369787055,49,9925
SAIL,1148336.4344239102,37,9125
SZM,1108352.0040877215,46,9491
SSNAKS,1088443.6088829397,49,9155
LTC,1085071.5204642627,25,6753
TRUST,1037812.0778545019,21,8123
LE4GUE,1030400.3394262752,45,8075
EXTRME,999414.8243382615,34,6750
NGREEN,965518.2697709637,37,7908
XWX,947287.9674894545,38,7697
TNGN,942709.8604343921,43,6990
SK4P,922412.2169862789,33,7295
D4RKER,914105.3713533549,27,6468
ZER0SE,912196.1454913184,45,6653
ESTER,908222.5724999406,34,6743
ST0RM,851320.6340728725,16,6277
ALFJ,850826.8661116797,41,6786
ASPN,848437.7132932715,39,6925
SNTL,812840.4739484838,25,5719
DCPTCN,808176.1372451222,30,6582
WTRMN,797981.1614750477,31,5987
LSH,713249.6282737148,27,5760
KBSM,675913.1914291536,32,4997
SEDYKO,658072.5709788651,19,6118
RL1,641056.3242872843,31,4682
AL0N3D,629582.902211071,35,4764
PIGFLY,625620.4507759493,33,4606
MED13L,616338.3172052107,31,4236
FERARI,594929.8211697662,42,5094
FUZHOU,591764.1931172212,38,4410
FOX109,580841.1905549151,29,4192
W2V,547902.8874930185,17,4086
REB3LS,542752.9208590395,24,4323
4EP,539255.6772398415,34,4712
VXL,538960.7586307976,6,3930
BAYLOR,538794.5028764256,29,4717
DUAL,536854.9003487064,22,3865
HZE,510285.7105421054,20,3719
UNREST,482668.8771970756,16,3539
DOGGIS,457157.60474876023,36,3742
HONT,456625.97472751053,17,3140
CATPLT,454801.652335973,32,3641
NTW,448309.2854779856,24,4507
RL,444541.8915745823,28,3294
KAPOK,425317.7163829354,28,3474
1BESTW,395951.1234739211,21,2957
BRICS,382365.48966692213,29,3590
PR2WX,378924.38002884795,27,3517
OER,375557.3261839367,25,2779
FLAGZ,362619.3022158989,26,3049
VLN,362318.37765678944,30,3112
RIV4L,359399.52663010324,13,2693
NTT,345348.3891557657,22,2636
B4HL,328096.60854944296,8,2297
TOTUF7,282805.01058539964,25,2383
NI1TRO,282557.50908390066,24,2013
LOFH,268431.7047655019,8,1922
GSGMWO,266465.6974381698,22,2246
NTRS34,259215.15956446965,26,2250
GOATOG,233274.51586421323,25,1958
SER,229334.54892889495,15,1697
VTI,221946.91344657246,25,1764
EXOTIC,197427.4978219065,8,1592
KR0W,189493.84716981504,10,1357
BR34K,183771.63429407202,3,1362
TALK,178330.06017204744,16,1310
LEDIHH,169265.48291746515,13,1314
NTM,162237.37779978968,21,1072
BEES,157530.11718629903,3,1021
FRLB,147680.65236990497,3,1004
792231,147183.7953249919,2,1016
SG1MAS,146608.44669605326,25,1090
170MPH,135165.18359410675,26,1213
BMW,131445.74843351956,7,990
TGNM,123274.5073447458,12,906
CYCV,86643.6055774245,2,607
GLZ,72725.64178076343,17,579
M1NE,71556.01451679933,6,625
SPRINT,64968.834827978106,8,477
FORKS,61629.03167563579,17,473
YE1LOW,59249.38148163309,4,439
NT20,57199.75064850985,2,533
XS9,30029.546154179126,1,258
NT,21718.051642148464,8,154
EMZ,20871.203392465643,6,156
YADLRS,3433.1907493997214,1,24
2S,1655.5235913879983,0,12
IQ200,1190.638803871288,1,10
VFU,651.6151825346498,0,5
PTB,0.0,0,0
