Team,TotalPoints,Racers,Races
SPRME,20648378.31885954,50,143039
P1RE,17047374.4908461,45,123540
TVX,12131233.298545515,47,87636
PR2W,12120680.684515988,49,86352
N8TE,10761135.58431787,39,78115
NTPD1,10486232.14897722,47,76282
CAM0,9443319.417272432,49,67108
PSR,9363443.7819155,49,68539
SSH,9168251.474472601,34,65251
NCT,8311695.346160812,48,60552
CZBZ,8258424.310806961,48,59058
BEEHVE,6873383.602485194,46,51404
LXW,6818550.854489849,35,48024
S0RC,5848332.546220183,49,40632
TCHR,5570373.281970105,35,41541
4CU,4949490.290673149,39,29630
FASZ,4385841.304261188,32,31329
RFTP,4277321.688874015,39,34793
LEGNDS,4066098.410063503,48,28800
NTO,3856995.910397979,50,30375
LOVGOD,3729137.912132383,46,26443
ZTAGZ,3622954.3895565,37,24633
ERC,3421849.6074751304,21,23795
190IQ,3034925.3473412036,12,21719
DIV1,2916590.738283355,47,20483
WPMWPM,2835868.7812053924,43,22767
LLJ4R,2764917.354701449,45,22710
MEYBO,2655490.049126217,28,19027
RZ,2643101.720031149,46,20814
NHS,2520717.2365390905,50,19776
DLX,2511298.534605187,46,20562
NTP444,2389992.5117944167,48,19445
F0J,2366305.0045164456,40,17040
AMPX,2304136.4762203884,46,17502
VKS,2219769.100612624,38,16692
50I,2080432.1697281715,40,14761
T3X5,2030116.0078537073,23,14124
T0WER,2018049.7796074706,38,13447
RI5E,2006076.084266852,46,15513
ZSH,1820035.6266671014,38,15142
TWO,1805326.758587079,31,12717
ZH,1746943.7212676264,39,12646
1STRED,1681646.1168464602,42,13200
NS7,1662574.4124968634,45,12343
FAM3,1652394.6152007582,45,12984
BRAVE,1632560.9685740937,36,12705
OVCR,1626084.9571686543,34,14038
A3,1578488.0858709041,31,11548
RVNT,1575619.0729611253,25,13269
AL3,1515472.0514429025,27,11568
SAIL,1492153.6677126351,39,11924
B0MBA,1376267.931758143,47,9463
HELIUM,1348500.180658897,44,11491
LTC,1286934.4774393688,22,7998
EXTRME,1245015.3171586115,38,8314
SZM,1231237.6941738904,45,10546
SSNAKS,1225881.3716503216,50,10307
LE4GUE,1208672.4545459172,46,9523
NGREEN,1179890.3908213226,39,9744
TRUST,1171383.2744672298,22,9150
XWX,1110139.6125093624,40,9026
ASPN,1045259.1825052999,39,8529
ZER0SE,1038198.7602722038,49,7628
ESTER,1013025.4187441795,32,7515
TNGN,1007655.6275565029,42,7473
ALFJ,991991.0572097742,42,7949
D4RKER,989336.654096689,28,7037
SK4P,974569.2307982722,30,7733
ST0RM,957941.4877556989,18,7069
SNTL,933632.9515302585,26,6564
WTRMN,919286.3758441577,31,6738
4EP,893971.863336614,39,7129
DCPTCN,856254.4802351842,24,6985
LSH,801604.4689540649,28,6485
KBSM,773204.7900134474,34,5731
RL1,768667.2511075501,33,5630
AL0N3D,768582.0821858977,36,5831
FERARI,731373.4380533964,43,6290
FUZHOU,705408.5864787668,42,5256
REB3LS,701493.8130339257,27,5633
MED13L,696228.5705183898,34,4779
SEDYKO,682647.6358115114,18,6351
VXL,673597.1113401006,7,4890
PIGFLY,673139.5519823838,35,4976
FOX109,667322.891051625,29,4820
W2V,635055.1182297568,20,4769
DUAL,631740.0310328935,24,4560
RL,571842.5451275635,30,4213
DOGGIS,562916.5381366313,49,4668
NTW,553931.350052076,35,5522
BAYLOR,550418.8436973625,30,4819
HZE,547719.4291468285,21,4002
UNREST,519512.6938007962,16,3831
1BESTW,511013.16337516136,29,3854
HONT,506090.677398084,22,3493
CATPLT,494590.54732191237,34,3955
OER,459066.49556304974,27,3458
KAPOK,457684.9681687395,31,3738
PR2WX,442687.8505776923,27,4083
BRICS,425129.1311438713,32,4006
FLAGZ,417420.41272663214,26,3521
B4HL,400626.5105247206,9,2798
VLN,381130.8002436208,30,3276
NTT,376237.89587351895,22,2879
RIV4L,363862.28041303135,15,2724
TOTUF7,348011.33479124075,28,2927
GSGMWO,345645.29302733706,28,2739
LOFH,314459.7902438168,9,2238
NI1TRO,306947.8628058931,23,2189
NTRS34,284343.44952917803,25,2477
GOATOG,280675.9239880198,23,2364
VTI,249617.16480376627,27,1996
SER,236087.44948593192,16,1750
EXOTIC,233650.4315344849,8,1884
LEDIHH,233576.41648436227,14,1811
KR0W,200821.38295453484,10,1441
BEES,196353.64462091724,3,1273
TALK,192769.32354394338,16,1410
BR34K,187737.4611260582,3,1388
NTM,179140.77466494072,22,1180
SG1MAS,157639.54670661927,28,1175
FRLB,153353.14111722124,3,1043
792231,147183.7953249919,2,1016
BMW,142102.9011340801,4,1073
170MPH,140135.5035123835,27,1256
TGNM,137331.78327374702,11,1021
SPRINT,81038.80279858575,8,597
YE1LOW,79441.39934758445,4,582
GLZ,77237.0917139697,16,621
M1NE,75653.52044355148,6,661
FORKS,65312.56477931017,17,506
NT20,59453.49390242632,2,554
XS9,30029.546154179126,1,258
NT,22483.77843448458,8,160
EMZ,21343.34925363924,6,160
CYCV,6311.9129928262555,2,45
YADLRS,3433.1907493997214,1,24
IQ200,2170.889161707417,2,22
2S,1655.5235913879983,0,12
VFU,768.4828240652876,1,6
PTB,0.0,0,0
