Team,TotalPoints,Racers,Races
SPRME,18655817.976770803,40,129137
P1RE,15900707.412552657,47,115270
PR2W,11422361.799398715,48,81346
TVX,11158835.377315648,49,80495
N8TE,10036317.378372151,40,73041
NTPD1,9972319.322979782,49,72493
PSR,8891428.826196326,49,65074
CAM0,8811806.04890529,50,62643
SSH,8752646.644934833,37,62348
CZBZ,7883513.392087228,46,56088
NCT,7718204.287665866,46,56246
LXW,6712179.432322416,34,47287
BEEHVE,6524304.626175612,48,48813
S0RC,5517281.273143615,48,38325
TCHR,5326913.56962865,40,39659
4CU,4784743.638524132,44,28490
FASZ,4279158.635105052,32,30557
RFTP,4065840.2620575246,49,33219
LEGNDS,3649985.63869132,48,25658
LOVGOD,3538878.1193001103,43,24970
ZTAGZ,3525527.320013033,35,23871
NTO,3468092.9748153477,49,27212
ERC,3371459.6366908997,20,23442
190IQ,2894188.582079732,10,20773
WPMWPM,2629644.471888575,47,21094
MEYBO,2586479.4715463067,29,18510
LLJ4R,2556806.488546123,46,20980
RZ,2483516.3603120563,40,19464
DIV1,2462429.3661302673,43,17298
DLX,2349310.921137381,48,19188
NHS,2341708.6627919134,48,18387
F0J,2252431.529963741,38,16123
NTP444,2177042.9329772852,44,17677
AMPX,2119332.390633305,44,16039
VKS,2052929.1646262363,38,15451
50I,1993251.5413152473,39,14124
T3X5,1968549.4409771422,23,13716
T0WER,1949093.9627773578,37,12972
RI5E,1836537.3789756012,45,14216
TWO,1760910.0795128914,31,12401
ZSH,1704455.1707019506,38,14162
BRAVE,1591636.1028344203,40,12357
ZH,1584625.8243566237,35,11439
1STRED,1580765.742495661,40,12403
FAM3,1551295.6898999528,43,12171
OVCR,1524406.79049283,37,13145
RVNT,1505289.869185224,28,12690
NS7,1502496.4599004153,33,11112
A3,1439300.1978640386,31,10481
AL3,1405500.7105018802,27,10741
B0MBA,1330571.39711807,43,9066
SAIL,1292806.7982265218,42,10265
HELIUM,1232799.886505968,49,10481
LTC,1207258.3240930296,22,7468
SZM,1160821.5612595994,46,9922
SSNAKS,1139630.792806756,50,9581
LE4GUE,1109184.8541010022,43,8701
TRUST,1105104.554080472,22,8638
EXTRME,1053017.6899113762,35,7163
NGREEN,1036405.0086574034,34,8520
XWX,1021304.664600283,40,8290
ZER0SE,967777.2752863211,50,7074
TNGN,966646.5325382766,43,7166
SK4P,944489.0645759581,30,7475
ESTER,941319.3422647973,34,6984
ASPN,939996.065429313,40,7670
D4RKER,937098.74149663,28,6642
ALFJ,910053.8801271133,40,7273
SNTL,891090.9610415723,26,6264
ST0RM,884025.7835292531,16,6511
WTRMN,868521.1792271504,31,6427
DCPTCN,837029.199456646,27,6824
LSH,751597.7610256751,28,6069
KBSM,732619.5563971758,33,5426
RL1,699388.487335323,31,5120
AL0N3D,693039.2631116172,36,5231
SEDYKO,674072.4722720409,19,6273
4EP,669342.1556861389,35,5570
FERARI,659692.3144543805,42,5665
PIGFLY,646684.6680873558,33,4776
MED13L,644405.7711169656,33,4427
FUZHOU,628919.7942156337,37,4685
FOX109,610979.711471813,29,4416
DUAL,592003.4392856576,23,4258
REB3LS,573108.5486463298,25,4568
VXL,572731.0417528265,7,4174
W2V,551515.8050928657,18,4112
BAYLOR,547901.03924243,30,4798
RL,532308.5009552685,31,3919
HZE,526547.1260334584,21,3838
UNREST,513254.81227672583,16,3781
DOGGIS,505019.29448171426,41,4174
NTW,477595.89607121766,28,4797
HONT,467219.0227828277,20,3219
CATPLT,465047.88474595646,33,3730
KAPOK,443312.5674584208,29,3622
1BESTW,434202.3868429119,22,3245
OER,416546.3050344083,25,3121
PR2WX,408640.26779756934,26,3774
BRICS,404796.75355319446,29,3810
FLAGZ,391018.89387685567,25,3303
B4HL,367137.7243343208,8,2566
VLN,366812.3167392007,29,3153
RIV4L,359841.71873331297,14,2696
NTT,356524.8900347696,22,2730
GSGMWO,328094.835595457,25,2594
TOTUF7,322714.36036674917,26,2698
NI1TRO,288831.9333462041,24,2058
LOFH,278925.17848856543,9,1994
NTRS34,268176.51496138703,27,2332
GOATOG,240344.34809457578,25,2017
VTI,230403.827333106,25,1831
SER,230106.1187459862,16,1703
EXOTIC,214789.56714419049,8,1729
KR0W,194509.6237786752,10,1393
TALK,186757.50963929982,15,1371
BEES,184881.23793968803,3,1199
BR34K,183771.63429407202,3,1362
LEDIHH,181622.49085872484,13,1412
NTM,168899.66862375796,21,1113
FRLB,153353.14111722124,3,1043
SG1MAS,150985.21456834316,27,1123
792231,147183.7953249919,2,1016
170MPH,138461.56867330355,27,1241
BMW,137465.88373550776,7,1037
TGNM,125463.54991406962,12,924
GLZ,72725.64178076343,17,579
M1NE,71556.01451679933,6,625
SPRINT,70987.7245763573,9,521
YE1LOW,67337.91420012165,4,496
FORKS,61629.03167563579,17,473
NT20,57636.466083043495,2,537
XS9,30029.546154179126,1,258
NT,21718.051642148464,8,154
EMZ,21343.34925363924,6,160
CYCV,5081.421266376369,3,36
YADLRS,3433.1907493997214,1,24
IQ200,2170.889161707417,2,22
2S,1655.5235913879983,0,12
VFU,651.6151825346498,0,5
PTB,0.0,0,0
