Team,TotalPoints,Racers,Races
SPRME,22135910.882566385,48,153358
P1RE,17741997.172718864,45,128661
TVX,12956520.685199011,47,93719
PR2W,12647845.984477837,49,90058
N8TE,11293929.76307647,42,81885
NTPD1,10790196.732016174,48,78511
CAM0,9864430.45060005,49,70117
PSR,9625018.689973608,49,70461
SSH,9443884.040426359,36,67274
NCT,8785714.31123516,48,63913
CZBZ,8601480.985322647,48,61641
LXW,7138033.8710114295,48,50212
BEEHVE,7074394.27702898,44,52967
S0RC,6107858.147193868,47,42446
TCHR,5712425.530553829,36,42667
4CU,4963985.071984028,33,29747
FASZ,4477793.400350093,31,32000
RFTP,4328246.894500087,39,35173
LEGNDS,4211780.504723056,44,29869
NTO,4137628.6452326514,50,32549
LOVGOD,3844803.9481490687,42,27277
ZTAGZ,3690433.2917311555,38,25160
ERC,3431740.403701852,21,23871
190IQ,3088000.2133412394,13,22072
DIV1,3025898.302628037,48,21260
WPMWPM,2993859.1816360513,46,24052
LLJ4R,2914699.8507451704,43,23930
RZ,2823458.310390699,41,22259
MEYBO,2686861.518246999,28,19284
NHS,2614027.4656274635,50,20507
DLX,2586152.1849458274,44,21177
NTP444,2484934.338641081,44,20237
F0J,2454253.1050709244,39,17749
AMPX,2451041.680640197,45,18651
VKS,2277492.8509084564,38,17113
50I,2154499.5048044752,39,15279
RI5E,2107454.4416454113,47,16286
T3X5,2097658.1935554016,23,14558
T0WER,2081761.6545296095,38,13880
ZSH,1909046.1878997302,40,15830
ZH,1856120.3398120583,42,13472
TWO,1822268.8494464203,31,12841
NS7,1806197.9941166872,42,13449
FAM3,1772663.982582221,45,13913
1STRED,1769146.2876034118,43,13862
SAIL,1716210.575804484,40,13639
OVCR,1679420.0602911683,29,14510
BRAVE,1673652.3023125532,37,13013
A3,1659462.8072566756,25,12156
AL3,1616207.1114926466,33,12303
RVNT,1611617.4955777165,18,13555
EXTRME,1450381.8773595556,39,9508
HELIUM,1418500.8329094958,45,12092
B0MBA,1397294.923146237,45,9646
LTC,1387477.8190719984,22,8601
SSNAKS,1291972.9088570003,50,10850
SZM,1291119.2298770016,44,11088
LE4GUE,1278811.8840261179,45,10063
NGREEN,1240700.5155439025,38,10256
TRUST,1204131.0774392579,22,9393
XWX,1145245.1322918092,40,9310
4EP,1113923.9190379875,46,8608
ASPN,1098852.0313442473,40,8972
ZER0SE,1072061.0156687805,48,7888
ALFJ,1040978.6448635705,42,8337
ESTER,1038903.3500892352,33,7715
TNGN,1038433.8922438507,42,7701
D4RKER,1034966.7530041737,29,7393
SNTL,1000338.9752958609,27,7013
SK4P,997301.6859309407,26,7933
ST0RM,994110.9815753007,18,7330
WTRMN,969597.5485136363,32,7063
DCPTCN,866892.107386947,24,7074
LSH,850402.1406001033,29,6887
AL0N3D,836695.8333753025,37,6361
RL1,827308.3728533691,35,6073
KBSM,820061.6196605988,31,6077
FERARI,766115.4276908799,41,6584
REB3LS,745007.8391021846,29,5996
FUZHOU,735973.0316194159,39,5481
MED13L,730991.5473025762,35,5032
VXL,704996.3895481218,7,5130
FOX109,692669.6713652734,28,5001
SEDYKO,691976.7162551113,17,6435
W2V,684178.1061062982,20,5164
PIGFLY,681179.8839106145,34,5042
1BESTW,681062.9945632953,30,5013
DUAL,656457.9905301622,24,4750
NTW,619988.0956389402,43,6159
RL,607223.694546149,31,4473
DOGGIS,600033.128201141,35,5000
HZE,553302.6888549912,21,4044
BAYLOR,550539.4204243921,30,4820
UNREST,538462.2396094443,18,3959
CATPLT,527986.4283034877,36,4213
HONT,521752.52786689386,22,3597
KAPOK,482182.52618989703,31,3927
OER,466460.7856310922,27,3520
PR2WX,450257.97701363306,28,4149
FLAGZ,442950.9809934291,24,3723
BRICS,436341.6280876682,34,4116
B4HL,426069.4113195069,7,2973
RIV4L,425389.87744347635,16,3078
VLN,386724.89286809217,30,3322
NTT,381710.34481380426,22,2918
TOTUF7,371528.68742515735,29,3118
GSGMWO,352477.9039196828,27,2801
LOFH,329953.72883534856,9,2350
NI1TRO,317459.3324363677,23,2263
NTRS34,294924.89638517157,27,2571
GOATOG,287318.83419037703,24,2417
VTI,263954.73126769543,27,2123
LEDIHH,250632.34447156262,14,1940
EXOTIC,241630.9625983432,8,1948
SER,239592.59416298565,16,1776
KR0W,206611.68192549178,10,1486
BEES,203238.0176194552,3,1318
BR34K,196999.4843051043,3,1448
TALK,192769.32354394338,16,1410
NTM,186535.0025148298,22,1227
SG1MAS,163421.18880191978,28,1218
FRLB,153498.7344238903,3,1044
792231,147183.7953249919,2,1016
170MPH,147026.7045941377,27,1318
TGNM,145780.4258875638,11,1091
BMW,145312.22192896734,4,1095
YE1LOW,84978.00148262421,4,620
SPRINT,81038.80279858575,8,597
GLZ,77237.0917139697,16,621
M1NE,76938.55096227018,5,672
FORKS,66089.00747106517,17,516
NT20,59453.49390242632,2,554
XS9,30029.546154179126,1,258
NT,22483.77843448458,8,160
EMZ,21485.802052810614,7,161
CYCV,6611.259782251289,2,47
YADLRS,3433.1907493997214,1,24
IQ200,2170.889161707417,2,22
2S,1655.5235913879983,0,12
VFU,768.4828240652876,1,6
PTB,0.0,0,0
