Team,TotalPoints,Racers,Races
SPRME,27330886.88050467,49,189274
P1RE,19261140.271345716,37,139879
RR,17564134.05957013,33,118952
TVX,15905147.731634373,46,114962
PR2W,14064585.503824286,50,99987
N8TE,12913996.214959508,41,92974
NTPD1,11425668.416380012,50,83237
CAM0,11174324.639777524,50,79186
PSR,10705442.699991934,46,78320
SSH,10173588.667513253,37,72531
CZBZ,9986035.641660184,44,71849
NCT,9737185.411216633,47,70637
LXW,8232852.941450782,47,57765
BEEHVE,7711101.222803114,42,57648
WP,7292190.665578871,49,51828
S0RC,6597624.759311227,48,45876
CHONT,6285681.895850936,12,39315
TCHR,6042904.565134796,30,45244
4CU,5007618.86697419,31,30111
FASZ,4642054.97933185,29,33202
RFTP,4617095.063324569,33,37433
LEGNDS,4568530.05912127,44,32499
NTO,4348115.48255719,48,34266
LOVGOD,4144789.5599802793,42,29463
ZTAGZ,3794156.079921363,36,25882
DIV1,3472369.705372936,45,24318
ERC,3453840.3488834943,21,23996
WPMWPM,3229417.998861871,49,25980
LLJ4R,3166756.7603422157,42,26002
190IQ,3152583.128350441,11,22498
RZ,3146276.6138541894,45,24730
AMPX,2798527.3356300304,45,21313
DLX,2765786.2836744837,48,22713
HFE,2758881.039663145,19,18413
NHS,2733300.767603109,50,21453
MEYBO,2709049.529131289,28,19465
NTP444,2653448.430751343,44,21600
F0J,2564195.516699334,39,18653
RI5E,2487767.7529635094,47,19196
VKS,2411561.063887079,39,18120
FTHM,2344422.7472452866,39,17076
T0WER,2244119.2694643093,38,14980
50I,2236639.0147052803,40,15956
T3X5,2226645.0976416785,25,15450
ZH,2164162.9413182754,39,15788
NS7,2125838.4445941634,47,15777
ZSH,2047057.0852036388,36,16930
SAIL,2036278.5407912105,41,16141
TWO,1981390.5900358667,32,13952
FAM3,1972474.1789901666,41,15470
A3,1937903.8204150372,31,14285
1STRED,1928455.9142416376,42,15125
BRAVE,1896303.0097049933,40,14450
OVCR,1812361.7938163278,32,15631
AL3,1786708.9254185923,32,13563
VG,1724380.098670791,33,12612
EXTRME,1679704.686898861,38,10836
C0NQUE,1674512.095966266,32,11929
RVNT,1673414.3697906137,17,14075
HELIUM,1627794.7976826963,50,13835
LTC,1563305.5577160134,23,9731
B0MBA,1452456.7031479797,47,10116
4EP,1421103.6949908063,50,10585
LE4GUE,1404595.0137247313,48,11056
SSNAKS,1381327.1080163708,50,11572
SZM,1367400.7296459246,45,11764
TRUST,1343186.3097317214,21,10406
XMVP,1326496.380526737,34,10599
NGREEN,1325011.6244217423,32,10943
ASPN,1301910.5219306494,44,10654
TNGN,1266168.601877723,40,9030
XWX,1216902.8298868355,43,9906
ZER0SE,1162525.0264885859,42,8536
ESTER,1157850.7834045668,30,8588
