Team,TotalPoints,Racers,Races
SPRME,19728251.074605428,49,136685
P1RE,16598135.996394694,47,120294
PR2W,11788179.15736028,47,83998
TVX,11613429.387041356,49,83800
N8TE,10427211.709040059,40,75718
NTPD1,10241452.957391411,48,74478
CAM0,9147657.851163995,50,64946
PSR,9106770.83728413,49,66631
SSH,8956616.370979093,37,63759
CZBZ,8105226.114574409,47,57812
NCT,8015687.5259804875,48,58418
BEEHVE,6731116.339478268,47,50316
LXW,6730970.934001283,33,47445
S0RC,5649031.411484256,49,39260
TCHR,5461536.343045791,39,40682
4CU,4902675.237375766,41,29294
FASZ,4324869.607239057,32,30883
RFTP,4184831.0534336297,50,34090
LEGNDS,3837160.455754842,47,27080
NTO,3680321.611007544,50,28933
LOVGOD,3644810.7489166274,44,25791
ZTAGZ,3575124.244364091,39,24260
ERC,3393002.2260468933,21,23592
190IQ,2972159.2297492796,10,21296
WPMWPM,2734184.12870666,41,21933
DIV1,2705838.183287483,48,19016
LLJ4R,2669785.3039693427,43,21907
MEYBO,2625292.1868730257,28,18796
RZ,2552405.173312721,42,20057
NHS,2455825.455482049,49,19265
DLX,2436476.952793584,46,19933
NTP444,2307764.8131038193,47,18760
F0J,2299018.8561996934,40,16505
AMPX,2219937.341003831,46,16817
VKS,2154566.0812655524,38,16204
50I,2043797.308197334,38,14480
T3X5,2001965.9813153537,24,13925
T0WER,1991606.64679263,37,13259
RI5E,1912328.6991354274,46,14790
TWO,1790170.6138242953,31,12611
ZSH,1751621.8089158926,38,14554
ZH,1666005.5081229352,36,12038
1STRED,1621559.2164424767,40,12702
BRAVE,1602290.1474490282,37,12445
NS7,1585239.5607996131,38,11719
FAM3,1582130.2613535076,44,12413
OVCR,1568724.9703355595,33,13524
RVNT,1539767.1665707103,26,12972
A3,1501261.8729834475,25,10943
AL3,1448001.6497258223,28,11055
SAIL,1380124.633386517,41,10990
B0MBA,1345623.225140247,46,9197
HELIUM,1279407.7578067915,49,10888
LTC,1225452.901095481,22,7607
SZM,1201603.9068401528,46,10280
SSNAKS,1185344.0756040344,50,9955
LE4GUE,1148449.6933792515,44,9029
TRUST,1145208.7142225078,22,8947
EXTRME,1111918.185502955,36,7543
NGREEN,1087040.68138547,36,8958
XWX,1073190.8114481806,40,8722
ZER0SE,1005310.5426406999,48,7365
ASPN,995772.4956497977,39,8125
TNGN,983641.1242764693,42,7297
D4RKER,968155.0754032794,28,6880
ESTER,965062.403404917,34,7159
SK4P,962532.9292448218,29,7629
ALFJ,950799.5942549094,41,7616
ST0RM,919688.773101138,17,6783
SNTL,912249.9057101379,26,6413
WTRMN,911618.0944642146,31,6693
DCPTCN,851279.0862407304,24,6944
4EP,811029.7145081752,37,6531
LSH,772204.8623643487,28,6239
KBSM,755937.1104303462,34,5606
AL0N3D,732534.6049467769,36,5551
RL1,720260.5923053252,31,5272
FERARI,688017.2606858406,43,5913
SEDYKO,677980.0306320029,19,6305
FUZHOU,675263.8659470465,40,5033
MED13L,674942.6400775034,33,4634
PIGFLY,660709.5340027832,34,4873
VXL,649324.0727496126,7,4715
FOX109,640993.4333373669,29,4632
DUAL,610580.3209085964,24,4401
REB3LS,599258.1640810698,27,4782
W2V,589914.1413048119,19,4411
RL,557183.4497554094,31,4102
BAYLOR,548907.0445423762,30,4807
HZE,535974.6435639603,22,3915
DOGGIS,525480.554344916,48,4362
UNREST,517651.8656476575,16,3815
NTW,512574.5048181898,32,5137
HONT,489772.97718182794,22,3375
1BESTW,479243.89950708335,28,3602
CATPLT,477939.8055794104,33,3833
KAPOK,448765.9128573667,29,3666
OER,437281.4942464003,27,3289
PR2WX,423228.7306589054,27,3902
BRICS,415513.4659889476,31,3912
FLAGZ,394399.9037659243,25,3332
B4HL,387846.887536305,9,2708
VLN,368732.67349021015,28,3170
NTT,364737.32567498763,23,2800
RIV4L,361644.21330284775,15,2709
TOTUF7,331328.1524090516,26,2773
GSGMWO,330305.03824243206,25,2614
NI1TRO,295986.3946747898,24,2108
LOFH,292248.8558644451,9,2090
NTRS34,275550.35249101964,26,2399
GOATOG,259491.4776169587,21,2186
VTI,238572.29232894743,27,1899
SER,232111.8012587164,16,1720
EXOTIC,226420.47337347106,8,1825
LEDIHH,206955.81888618311,14,1610
KR0W,198008.33967885896,10,1420
TALK,192198.51437427118,16,1406
BEES,185837.23981085108,3,1205
BR34K,185748.47090027286,3,1375
NTM,173576.68382804855,21,1143
SG1MAS,155015.66155421195,28,1154
FRLB,153353.14111722124,3,1043
792231,147183.7953249919,2,1016
BMW,140834.93339494496,6,1063
170MPH,139223.9269105105,27,1248
TGNM,130480.14890264979,12,965
GLZ,75722.56938904949,17,607
YE1LOW,75376.55588287553,4,551
SPRINT,73643.94594469029,8,541
M1NE,71556.01451679933,6,625
FORKS,61681.46158211424,17,476
NT20,59453.49390242632,2,554
XS9,30029.546154179126,1,258
NT,21718.051642148464,8,154
EMZ,21343.34925363924,6,160
CYCV,6311.9129928262555,2,45
YADLRS,3433.1907493997214,1,24
IQ200,2170.889161707417,2,22
2S,1655.5235913879983,0,12
VFU,651.6151825346498,0,5
PTB,0.0,0,0
