Team,TotalPoints,Racers,Races
SPRME,29648029.299709618,50,205427
P1RE,20112483.986304708,36,146204
RR,17902682.880407404,34,121943
TVX,17150677.20530617,50,123921
PR2W,14786460.859960275,50,105078
N8TE,13405872.374629447,41,96238
CAM0,12235665.31369659,49,86174
NTPD1,11889498.067743603,49,86585
PSR,11344109.671263555,48,82902
CZBZ,10905263.597581346,48,78642
SSH,10557478.610271385,37,75254
IR,10403679.464614095,41,77399
NCT,10273835.71641894,48,74439
LXW,8801856.119452776,44,61829
FFS,8461629.444223665,49,62006
BEEHVE,8172384.735197623,44,61058
WP,7695382.392870869,49,54507
S0RC,6769687.432543819,49,47112
CHONT,6288783.947170591,11,39342
TCHR,6283374.470487702,30,47093
4CU,5022348.268775171,35,30234
RFTP,4743526.921404748,35,38546
FASZ,4735720.7441788325,22,33900
LEGNDS,4660687.414618075,44,33248
NTO,4470027.382456583,49,35280
QC,4447090.897611256,2,32899
LOVGOD,4281352.212696092,42,30427
TVM,3947039.8712032195,39,28835
DIV1,3863454.014741084,45,26935
ZTAGZ,3847159.0286173145,39,26296
TFV,3626096.907508825,34,24759
ERC,3467230.018292547,21,24088
WPMWPM,3361073.795965464,49,27032
LLJ4R,3359928.0537452013,39,27591
RZ,3262310.489216707,50,25692
190IQ,3176765.4631434465,7,22681
AMPX,3028982.8829882876,45,23152
DLX,2884633.3303454374,48,23711
RI5E,2858270.4076190433,47,21947
NHS,2796360.737889985,50,21942
HFE,2781271.8270654213,20,18568
NTP444,2739287.604749835,44,22369
MEYBO,2725757.2589088706,29,19604
F0J,2595977.232904515,40,18906
FTHM,2539604.2818435933,40,18548
VKS,2446550.2886271905,41,18397
ZH,2424788.023183317,43,17759
NS7,2354631.0077031185,45,17479
50I,2310184.267634887,36,16522
T3X5,2305741.368551001,24,16011
T0WER,2287644.835497268,38,15285
42712,2270071.0273944954,7,17231
SAIL,2177524.2340171644,36,17276
TWO,2131432.1930686063,32,15023
ZSH,2129571.874598407,37,17595
FERAL,2097466.868324134,42,15536
FAM3,2090233.2408405964,44,16426
A3,2071114.3838329043,25,15304
1STRED,1977128.6795039894,43,15515
VG,1962009.3067498512,32,14489
BRAVE,1961572.526628686,33,14970
OVCR,1889751.4954047508,33,16308
AL3,1884167.6510555786,33,14285
C0NQUE,1799760.7866582174,30,12914
EXTRME,1765293.1297090622,39,11407
HELIUM,1743563.9041204674,50,14802
RVNT,1728758.414943431,21,14533
LTC,1593201.6501328836,24,9966
4EP,1535639.9007079215,50,11532
LE4GUE,1523143.615092307,48,12060
SSNAKS,1468538.7605572839,35,12268
B0MBA,1467043.0366140236,43,10239
TRUST,1432377.2400978561,21,11058
SZM,1425115.0595152183,46,12292
NGREEN,1385135.0832067404,34,11386
ASPN,1384308.5151062894,42,11336
XMVP,1367792.3752578543,35,10920
TNGN,1337295.2711372352,41,9560
XWX,1315017.220048576,45,10712
L3JENS,1237934.757612511,15,8343
ZER0SE,1218988.5424052274,40,8943
ESTER,1218137.8864742545,28,9051
ALFJ,1212407.9466233815,40,9719
ST0RM,1182774.7807892596,18,8665
SNTL,1180955.4687466843,26,8262
RL,1179391.8199036277,34,8457
D4RKER,1140897.5184223165,29,8183
WTRMN,1082010.4133628963,32,7876
SK4P,1036826.3743444661,19,8271
RL1,993745.0631315135,38,7306
AL0N3D,983971.0248302085,39,7483
LSH,961421.1075789166,32,7823
KBSM,916520.0943463909,34,6808
DCPTCN,899380.7786155724,25,7345
FERARI,881703.3569111354,36,7566
FUZHOU,872110.3028925105,45,6478
VXL,813911.9365507585,6,5940
MED13L,809356.8936991307,33,5595
REB3LS,805594.7332979951,25,6504
1BESTW,793429.7238552728,29,5865
SPDLM,783273.2570280302,43,6301
W2V,777977.1381000329,20,5909
DUAL,773079.7331689248,25,5599
FOX109,760737.5617450634,27,5494
PIGFLY,745693.8570602572,35,5542
NTW,730698.4382418578,44,7264
SEDYKO,720591.5589551316,19,6686
BAYLOR,718180.4679161335,30,6288
DOGGIS,702636.6518403188,33,5902
UNREST,664392.2727953133,20,4839
B4HL,635748.0747554566,8,4423
VS,635511.1487831364,21,4315
HONT,614665.1902207435,23,4231
HZE,593624.3199999394,22,4343
CATPLT,567586.9696287141,38,4524
BRICS,548291.5701130447,38,5193
KAPOK,547666.7184640554,33,4460
PR2WX,543985.9117489599,29,5016
