Team,TotalPoints,Racers,Races
SPRME,25183114.71683516,48,174407
P1RE,18717645.41731541,44,135845
TVX,14633753.638355931,47,105870
PR2W,13544109.254989894,50,96343
N8TE,12321226.513916733,41,88954
NTPD1,11148593.501147186,49,81181
CAM0,10588206.059549825,48,75249
PSR,10250560.544808386,46,75023
SSH,9890203.854687735,36,70508
NCT,9480215.962126639,48,68780
CZBZ,9435281.492397506,47,67788
LXW,7675363.109015952,34,53912
BEEHVE,7431927.696257338,43,55642
S0RC,6431152.975855268,49,44679
TCHR,5897667.661635388,30,44117
4CU,4990350.597874766,29,29959
FASZ,4605703.995365923,30,32927
RFTP,4509151.308780878,37,36534
LEGNDS,4478586.599485179,44,31819
NTO,4302619.02197322,46,33892
LOVGOD,4033050.5676164706,42,28630
ZTAGZ,3782346.035506116,36,25803
ERC,3441588.7139944565,21,23927
DIV1,3281510.38228613,45,23041
WPMWPM,3166339.3150740424,48,25476
190IQ,3140392.5866766684,14,22407
LLJ4R,3101934.8981903656,41,25470
RZ,3069934.0154491425,46,24147
NHS,2717780.6317440947,50,21333
MEYBO,2709049.529131289,28,19465
DLX,2704054.4011061755,48,22184
AMPX,2664616.1164247533,45,20273
NTP444,2613076.070073775,46,21277
F0J,2541999.016960139,38,18466
VKS,2376351.1209168113,39,17854
RI5E,2316450.333966045,47,17891
50I,2211237.2491102605,40,15741
T0WER,2172441.5166609054,38,14512
T3X5,2155444.2006240063,24,14966
ZH,2075816.8452970283,41,15150
NS7,2026245.822801171,47,15045
ZSH,2018192.5078016138,35,16682
SAIL,1910497.7979836941,40,15151
TWO,1909503.754713685,32,13446
1STRED,1887685.5039768051,43,14831
FAM3,1871269.5559209452,46,14711
A3,1855652.3188976666,31,13645
BRAVE,1854032.4054098448,37,14141
OVCR,1758617.390659972,32,15184
AL3,1746348.911968879,33,13275
EXTRME,1663451.1391175871,39,10711
RVNT,1646322.420433328,16,13846
LTC,1559228.0787809321,23,9695
HELIUM,1541668.822549932,48,13136
B0MBA,1437510.881098292,47,9990
4EP,1376014.1827406927,46,10262
LE4GUE,1369850.1710229118,47,10801
SSNAKS,1364674.3761375928,49,11439
SZM,1351758.2773007327,45,11624
TRUST,1334893.4510713902,21,10344
NGREEN,1298991.3054057185,38,10735
ASPN,1218608.2357089517,42,9958
XWX,1209035.0206572157,43,9837
TNGN,1182906.8010687106,40,8539
ESTER,1143560.3352957573,30,8482
ALFJ,1113140.0737326154,43,8917
ZER0SE,1112716.0991750045,43,8187
D4RKER,1096534.8153048218,29,7859
SNTL,1075707.8204237784,27,7529
ST0RM,1062649.3819815423,19,7801
WTRMN,1028422.7721566141,32,7459
SK4P,1013300.7634659589,22,8074
RL1,932170.031722003,36,6858
AL0N3D,911690.0784097655,39,6919
DCPTCN,886641.4997327693,24,7237
KBSM,872086.3252920961,33,6471
LSH,870345.8323223239,29,7055
RL,857103.6641970718,32,6340
FERARI,819740.4695376039,35,7050
REB3LS,782701.9268550997,27,6310
FUZHOU,782291.8232161883,39,5814
VXL,761068.8143416748,6,5540
MED13L,759133.4069646567,35,5237
W2V,742447.541627297,20,5629
1BESTW,740722.6816498506,25,5469
FOX109,729592.7401390715,27,5264
DUAL,722353.6637514067,25,5228
PIGFLY,715805.472496147,34,5308
SEDYKO,710142.6948294871,17,6589
NTW,695348.0083754564,44,6913
DOGGIS,658445.2088936331,39,5519
UNREST,599643.9120826619,19,4374
HZE,583265.8992573154,21,4264
BAYLOR,581894.2904284104,30,5100
HONT,572077.1310611246,22,3946
CATPLT,541783.5165168797,36,4318
KAPOK,520515.61509881035,32,4228
PR2WX,511423.0757962021,28,4718
B4HL,495020.5816303376,9,3469
BRICS,480256.9893109078,37,4531
OER,476138.3667698162,27,3600
FLAGZ,455639.9897685195,23,3820
RIV4L,434517.1071758566,16,3150
TOTUF7,409149.5142425313,30,3432
NTT,396797.2960554163,22,3017
VLN,386843.84149198263,29,3323
GSGMWO,369344.24280960433,29,2936
LOFH,348166.7384958074,10,2469
NI1TRO,345415.98439996183,23,2465
GOATOG,301371.4005802392,23,2539
NTRS34,299256.9318937549,27,2606
VTI,276490.60242817504,27,2227
LEDIHH,276386.2833919814,14,2134
EXOTIC,255733.79122344663,8,2056
SER,242141.86932274926,16,1795
BEES,216182.7518690815,3,1401
KR0W,215224.40902670237,10,1555
TALK,205066.12077931353,18,1483
BR34K,203237.7222617179,3,1489
NTM,202265.04437962477,22,1332
SG1MAS,172727.30313912197,28,1287
TGNM,159612.84162951156,11,1189
170MPH,156576.8631509987,28,1404
FRLB,155745.64841334027,3,1059
792231,147183.7953249919,2,1016
BMW,145573.34628846822,4,1097
YE1LOW,89734.49171828531,4,653
SPRINT,81841.99390439747,8,603
GLZ,77572.65298550364,16,624
M1NE,76938.55096227018,5,672
FORKS,66089.00747106517,17,516
NT20,61097.747670452045,2,570
XS9,30029.546154179126,1,258
NT,22483.77843448458,8,160
EMZ,21485.802052810614,7,161
CYCV,6904.075728595102,2,49
YADLRS,3433.1907493997214,1,24
IQ200,2665.7690972472656,2,28
2S,1655.5235913879983,0,12
VFU,768.4828240652876,1,6
LDZ,606.0831485587584,1,4
PTB,0.0,0,0
