Team,TotalPoints,Racers,Races
P1RE,14015454.31119406,46,101496
SPRME,13577767.085726932,39,94225
PR2W,9597234.403410662,47,68482
NTPD1,8922960.6020417,47,64688
N8TE,8769209.879926631,39,64143
TVX,8366832.316846506,50,60337
SSH,8057724.567101513,37,57561
PSR,8057071.051895511,48,58775
CAM0,7662644.521683636,48,54681
CZBZ,7179338.31434821,47,50803
NCT,6536927.732901465,47,47828
LXW,6430527.906019189,32,45424
BEEHVE,5742307.275010414,47,43015
S0RC,4935564.139272938,44,34306
TCHR,4801697.187329194,43,35628
FASZ,4016744.3838771284,29,28731
4CU,3843532.2179263867,42,22904
RFTP,3754017.138062497,49,30890
ZTAGZ,3377603.6862662793,30,22870
ERC,3334492.3643105836,14,23203
LOVGOD,3250450.717275408,49,23011
LEGNDS,3136453.612845081,42,21917
190IQ,2720976.3973799627,10,19552
NTO,2699606.2324105846,47,21483
WPMWPM,2340796.184286253,43,18666
RZ,2314613.1097146333,45,18099
NHS,2226569.184594611,47,17469
MEYBO,2214082.496747845,31,15995
DLX,2206724.723110182,47,17989
LLJ4R,2197457.1487343125,47,18005
DIV1,2083649.9117699044,40,14614
F0J,2012902.5664421318,40,14388
VKS,1983367.8291254533,38,14922
NTP444,1972479.839048675,47,16046
50I,1893418.1396464803,39,13391
AMPX,1841153.8227930146,45,13869
T0WER,1769265.2168231257,37,11777
TWO,1710498.244981186,30,12034
ZSH,1594268.7162741562,38,13214
RI5E,1588001.582944568,43,12392
BRAVE,1504558.825592538,38,11660
1STRED,1451563.7929586605,38,11402
ZH,1441440.430203855,34,10357
RVNT,1438006.8688351673,28,12135
FAM3,1436683.9396877086,44,11250
OVCR,1392578.7303101132,40,11985
A3,1317104.8820190853,24,9558
B0MBA,1288525.436211333,40,8698
NS7,1282721.1651656504,32,9604
AL3,1268291.2579321756,27,9696
T3X5,1153834.5771437697,19,8173
HELIUM,1112558.520008947,49,9461
SSNAKS,1071297.731747584,50,9026
SAIL,1062515.6747030702,36,8432
SZM,1050552.2848470488,45,9065
LE4GUE,1021243.1056421198,45,8018
TRUST,1013331.9109058935,22,7941
XWX,944297.4553780546,38,7673
NGREEN,940896.3104322571,36,7711
LTC,939076.0700350283,25,5943
TNGN,933234.9119219561,43,6922
D4RKER,908120.5443241068,27,6427
SK4P,905574.5588796613,34,7167
EXTRME,897240.4324202045,34,6138
ESTER,892356.3002131857,34,6629
ZER0SE,842556.3188557104,46,6159
ST0RM,832013.1867394677,16,6130
ALFJ,812792.8239335712,41,6495
WTRMN,788132.8788523524,30,5921
DCPTCN,787659.4443544203,30,6421
SNTL,779408.5107247353,25,5495
ASPN,771407.1399996749,38,6304
LSH,682096.2690754493,26,5501
SEDYKO,650829.199996445,19,6052
KBSM,646406.5556858324,32,4759
PIGFLY,622585.6851783742,33,4580
AL0N3D,615143.9207563659,35,4653
MED13L,613159.2947550871,31,4216
RL1,604518.6146713769,31,4421
FERARI,588503.4561396034,43,5036
FUZHOU,588007.6097992748,38,4381
FOX109,574705.1823798463,28,4146
4EP,538901.8967463219,33,4709
BAYLOR,538794.5028764256,29,4717
REB3LS,531624.9465700699,23,4247
W2V,523995.92973656155,17,3900
DUAL,495729.8301744364,22,3579
VXL,487254.31072009885,6,3571
UNREST,480428.47408336785,15,3525
HZE,477179.9396533519,20,3476
HONT,446554.30262488045,17,3074
CATPLT,444668.357887059,32,3571
DOGGIS,440096.3964423957,37,3586
KAPOK,417069.7994886489,28,3405
RL,412615.81915427395,28,3081
1BESTW,371663.4813831654,21,2781
VLN,361995.4251148672,30,3109
FLAGZ,360598.5331007185,25,3032
BRICS,360512.5940616531,29,3367
RIV4L,357095.6341890856,14,2673
PR2WX,356342.4014225035,26,3301
NTT,345348.3891557657,22,2636
OER,340846.84471863945,27,2519
B4HL,296585.9502122107,9,2075
NI1TRO,271057.2917026442,24,1936
GSGMWO,265478.8574028741,22,2237
LOFH,263365.44466226414,8,1890
NTRS34,257735.01331483934,26,2240
TOTUF7,254404.16350896505,24,2147
GOATOG,233274.51586421323,25,1958
SER,225618.9691766925,15,1668
VTI,220197.46857101817,25,1751
KR0W,189493.84716981504,10,1357
BR34K,183771.63429407202,3,1362
TALK,178181.25480697432,16,1309
EXOTIC,173476.4737182866,8,1392
LEDIHH,162642.37439321994,13,1260
NTM,159629.48707607648,21,1056
BEES,157530.11718629903,3,1021
792231,147183.7953249919,2,1016
SG1MAS,146608.44669605326,25,1090
170MPH,129846.41128224571,25,1167
BMW,128114.98730653906,7,967
FRLB,124387.55831565654,3,846
TGNM,84788.90565686158,11,670
GLZ,72725.64178076343,17,579
M1NE,71556.01451679933,6,625
CYCV,66698.91024686168,3,466
SPRINT,64968.834827978106,8,477
FORKS,61629.03167563579,17,473
YE1LOW,59249.38148163309,4,439
NT20,57199.75064850985,2,533
XS9,25648.43924543006,1,221
NTW,23523.39303756708,4,191
EMZ,20871.203392465643,6,156
NT,19703.25978253919,8,140
YADLRS,3433.1907493997214,1,24
2S,1655.5235913879983,0,12
IQ200,1190.638803871288,1,10
VFU,523.7600311243679,1,4
2VCTRY,0.0,0,0
PTB,0.0,0,0
